content,후드티 사려고 하는 데 브랜드 추천 좀 !!!,
comment,루이비통 조져,2020.8.19 19:30
comment,oioi 무난,2020.8.19 19:43
comment,스투시,2020.8.19 20:57
comment,커버낫,2020.8.19 21:12
comment,벌써?,2020.8.20 0:12
comment,쥬네스,2020.8.20 0:48
comment,칼하트,2020.8.20 15:23
content,피파 1승차이로 챔피언스 못가서 현타온다..,
comment,ㄱㅊ 난 유망주임 ㅋ ㅋ,2020.8.19 19:30
comment,헉,2020.8.19 19:52
comment,삭제된 댓글입니다.,
comment,키보드의 한계 같어,2020.8.19 19:51
comment,프1에서 월클 못가서 접었음 ㅋㅋ,2020.8.19 19:50
comment,나도 처음엔 그랬어,2020.8.19 19:52
comment,월클에서 벽느낌,2020.8.19 19:51
comment,하다보면 늘긴해..!,2020.8.19 19:52
comment,팀보단 전술이 중요하죠?,2020.8.19 19:54
comment,프로들 전술 써보고 맞는거 찾는게 중요하긴 하죠!,2020.8.19 19:58
comment,삭제된 댓글입니다.,
comment,월클도 잘하는거죠 ㅋㅋ,2020.8.19 21:31
comment,월클1부의 벽을 못넘겠다..ㅋㅋ,2020.8.19 22:54
comment,저도 저저번시즌까진 1부에 막혔음 ㅋㅋ,2020.8.19 23:13
content,봉사 등록하려면 참사람봉사단? 에 직접 가야되는 거에요??,
comment,유드림스에 봉사등록칸에 올리는거 있을텐데???,2020.8.19 19:43
comment,그런가요!? 함 해보겠슴니당,2020.8.19 19:47
content,불대 학생회 지원하는 칭구들아 자소서 내용 꽉 채웠니~?,
comment,자소서는 채우는 게 중요하지 않아. 너 자신을 전달하는 게 중요한 거지.,2020.8.19 19:49
comment,삭제된 댓글입니다.,
comment,쪽지해도 될까..?,2020.8.19 22:44
comment,나 지금 쓰고 있는데 꽉 채울 자신은 없다...,2020.8.20 0:20
comment,여쭤봤는데 꽉 안채워도 된대! 여유 있게 쓰라고 칸 넓게 잡아주신거라 하더라!,2020.8.20 3:01
content,경영학과 친구들 중에 프론티어 동아리 가입한 사람 있어?,
comment,나 고민중ㅎ,2020.8.20 18:35
comment,나도 ㅎㅎ 만약에 하게 되면 같이 하면 조켓당 ㅎ,2020.8.20 22:38
comment,그러게❤️,2020.8.20 22:40
content,"eas2-91 카나카 교수님 s3수,금 수업 설문조사 다들 뭐라 하셨나요?대면 오바 아닌가요,,,",
comment,전 eas1 카니칸데 비대면희망했어요!,2020.8.19 20:36
comment,역시... 아무리 새내기라도 대부분 비대면 했겠죠...? 대면되면 오바^^,2020.8.19 20:37
comment,전 대면했어요,2020.8.19 22:22
comment,이유가 뭔가요 궁금,2020.8.19 23:42
comment,안될걸 알기에.....그냥 대면 한 번 해보는게 제 소원이라 몇명이라도 대면 선택하면 당장은 아니더라도 나중에 좀 상황 괜찮아졌을 때 혼합으로라도 해주실까 싶어사요...ㅋㅋㅋ큐ㅠㅠㅠ,2020.8.19 23:53
comment,"혼합이면 대면원하는 친구들은 와서 듣고 아닌 친구들은 원격으로 참여하는 걸 말하는 거죠? ㅎㅎ 가능할까 모르게ㅆ네용 저 포함 지방러들이 피눈물 흘릴뿐,,,",2020.8.20 10:56
content,라틴어 싸강해도 책 필요하지??,
content,남산학사가면 밥 어떻게 해결해요??,
comment,삭제된 댓글입니다.,
comment,학식 3300원임 ㅋㅋㅋㅋㅋ,2020.8.19 23:11
comment,3층은.. 교직원 식당이야..^^.. (지나가던 화석),2020.8.20 1:01
comment,그게 제일 문제야 ... 만약 거리두기 3단계 하면 밥 대체 어디서 먹어...? 취사도 안되고,2020.8.19 22:43
comment,치킨 배달 시켜서 각자 먹나요.....?,2020.8.19 23:22
comment,네 배달시켜서 거의해결하는편 하지만 개비싸요... 배달팁도그렇구,2020.8.23 0:03
content,대면 없어도 기숙사 들어가게 해줄까?공지가 바뀔까봐..,
comment,삭제된 댓글입니다.,
comment,다시 공지 안뜰까?,2020.8.19 22:54
comment,오늘 전화했는데 바뀔일없대요,2020.8.20 0:53
comment,감사해요!!,2020.8.20 0:57
content,우리졸업할때 토익점수몇점 넘어야한다 그런거 있어?? 찾아봐도 없는데 있다는사람들이자꾸있어사ㅠ,
comment,700인가 그랬던 것 같은데,2020.8.19 22:37
comment,700!!,2020.8.19 22:39
comment,학업이수가이드에 나와,2020.8.19 22:39
comment,진짜나만 맨날 학업이수가이드에서 못찾나봐;;;고마워요 다들,2020.8.19 22:51
content,내일 새벽 6시에 토익 점수 나온다 ㅎㅎㅎ,
comment,780 못넘으면 바로 추가접수해야징,2020.8.19 23:04
comment,카투사?,2020.8.20 0:38
comment,ㅇㅇㅇㅇㅇ,2020.8.20 0:52
comment,나두 ㅎㅎㅎ,2020.8.19 23:06
comment,요번에 좀 쉽지 않았음?? 첫 토익이였는데 시간 꽤 남던데??,2020.8.19 23:08
comment,나도 막 20분씩 남고 그러더라.. 그런만큼 점수도 짤거같애ㅠ,2020.8.19 23:08
comment,엥 점수를 그렇게 줄 수가 있어?,2020.8.20 0:19
comment,토익 상대평가라서 내가 쉬우면 남들도 거의 다 쉬운거니까 점수가 웬만큼 많이 맞추지 않고서는 낮겠지..?,2020.8.20 0:27
comment,6신 새벽이아니라 아침이라구 친구,2020.8.20 0:46
content,성적우수장학도 신청해야해?아니면 가만히 있으면 그냥 주는거야?,
comment,ㄱㅁㄴ,2020.8.19 23:13
comment,네??,2020.8.19 23:14
comment,가만히 - 가마니 라고 쓰신듯,2020.8.20 0:03
comment,나는 했어,2020.8.19 23:17
comment,유드림스에서??,2020.8.19 23:18
comment,엉,2020.8.19 23:18
comment,고마워ㅎㅎ 혹시 언제 했는지 물어봐도 될까?,2020.8.19 23:19
comment,성적장학 그냥 가만히 있어도 주는 거 아님?,2020.8.19 23:22
comment,그런가봐 고마워😊,2020.8.19 23:24
comment,순간 식겁함ㅋㅋㅋ,2020.8.19 23:24
comment,바보야 전장이면 전장 등록하능거고 전장아니면 그냥 고지서감면이자나ㅠㅠㅠㅠ 흑흑,2020.8.19 23:23
comment,고마워!!😊,2020.8.19 23:24
comment,전장인데 전장등록아니면 그대로 너돈내야하니까 꼭 등록하라구우우우우우우우웅 ><,2020.8.19 23:24
comment,그런거구낭 고맙다구우우웅><,2020.8.19 23:25
comment,귀엽고 난리,2020.8.20 13:41
content,"새내기 남학생인데요! 기숙사 접수번호가 52번인데, 가능성 있을까요?!?!?",
comment,아니요!,2020.8.20 0:43
comment,방금 전화왔어요 ㅎㅎ 기숙사 통과했습니다,2020.8.20 11:02
content,실험 대면가능한거 맞나..? 이정도면 ㅜㅜ,
comment,비대면 할 것 같다.. 지금 상황 보니까,2020.8.19 12:19
comment,ㄴㅁㅇ 하든 안 하든 빨리 다시 한번 공지 줬으면 좋겠당....,2020.8.19 13:23
content,나도 오늘부터 자가격리...,
comment,어우 힘들겠다,2020.8.19 12:31
comment,어쩌다가?,2020.8.19 12:40
comment,나도..,2020.8.19 13:45
content,새내기 2학기 휴학 가능한가요 ..?,
comment,네,2020.8.19 13:11
comment,헉 혹시 쪽지해도 괜찮을까요 ??,2020.8.19 13:11
comment,넹,2020.8.19 15:00
comment,넵,2020.8.19 15:28
content,학고받았는데통지서말고또전화나뭐오나요?,
comment,(답변도 못해주고 질문해서 미안..) 뭐했길래 학고받은거야?,2020.8.19 13:34
comment,나 이번학기에 개인사정으로 수업이랑 시험을 응시 못해서.. 에프 두개나 있는 새내기야...,2020.8.19 13:35
comment,나는그냥내가게을렀어ㅋㅋ,2020.8.19 15:31
comment,초반에대충듣다가나중에좀열심히했는데출결땜에에프2개받았어,2020.8.19 15:32
content,나만 법대 학회 홍보 들을수록 현타오냐 이게 뭐냐,
comment,ㅋㅋㅋㅋ왜??,2020.8.19 13:24
comment,엠티 사진보고 학교 못가는거 화나서,2020.8.19 13:24
comment,아아 우울하긴해..,2020.8.19 13:26
content,푸른등대 장학금은 학교로 들어가서 등록금 감면되는 형식인가요 아님 생활비로 따로 지급되는건가요..?,
comment,생활비로 알고있어요!!,2020.8.19 14:20
comment,감사합니다!,2020.8.19 14:21
comment,어디 지원했어요?,2020.8.19 15:27
comment,k어쩌고 하는거요..ㅋㅋㅋㅋㅋ자세히는 기억안나네욤😂,2020.8.19 15:30
content,얘들아 등록금 고지서에 신청학점 0이라고 쓰여있는데 다들 그래?? ㅠㅠㅠ,
comment,웅 나도그렇네,2020.8.19 13:25
comment,아 다들 그런건가..? ㅠㅠㅠ,2020.8.19 13:27
comment,유드림스로 확인한거야?,2020.8.19 13:38
comment,웅!,2020.8.19 13:43
content,법대 학회 다들 어디오디 생각 중이얌,
comment,제일 끌리는건 사법,2020.8.19 13:39
comment,난 공법아니면 형법 생각 중,2020.8.19 13:39
comment,형,2020.8.19 13:40
comment,오오!,2020.8.19 13:41
comment,같이하자,2020.8.19 13:46
comment,형이랑 공 중에 고민 중 .. ㅜㅅ ㅜ 형법 들어가면 쪽지할겡 ㅎㅎ,2020.8.19 13:46
comment,웅~,2020.8.19 13:47
comment,삭제된 댓글입니다.,
comment,나도 공법 생각 중인데 지방 살아서 필참이 좀 부담스럽다 ㅠ,2020.8.19 13:41
comment,사법 형사법 고민중인데 형사법 내용이 잘 기억아 안 남,2020.8.19 13:55
comment,오 나도 그 둘 중 고민인데 ㅠㅠ,2020.8.19 14:19
comment,선택했뮈?,2020.8.19 17:16
comment,국제!,2020.8.19 15:21
comment,오 저도요!,2020.8.19 15:56
comment,헐 같이가요!!ㅎㅎ,2020.8.19 15:57
comment,삭제된 댓글입니다.,
comment,으악 너무 고민이다 학기에 계속 서울에 있어 ??,2020.8.19 17:16
comment,난 국제...,2020.8.19 17:47
comment,나두 국제....,2020.8.19 17:56
comment,헉 국제도 은근 많네 ㅎㅎ,2020.8.19 17:57
comment,사법가쟈,2020.8.19 23:13
comment,공법 학회 활동 이번에 필참이었나요?,2020.8.19 23:21
comment,음 그런 말은 딱히 안 하셨던 것 같은데 이번에는 작년처럼 활동은 못 할거고 진짜 개인 사정 있는데도 강요하는 건 아니라고 하셨어요,2020.8.19 23:35
comment,근데 이번에 코로나 때문에 지방러는 본가에 있는 사람이 많아서 좀 애매해요 ㅠㅠ,2020.8.19 23:36
comment,나도 지방이라 동기들 다 필참아닌 필참하는 분위기에 혼자 빠지면 자연스레 아싸 길 걷는거 아닐까 걱정쓰..ㅠㅠ,2020.8.20 11:51
comment,지금 비대면인데 지방러면 웹엑스로 하겠지~,2020.8.20 2:26
content,휴학하는새내기 잇뉘 손👋,
comment,나,2020.8.19 13:42
comment,나!,2020.8.19 13:57
comment,왜 행?,2020.8.19 14:02
comment,나,2020.8.19 14:47
comment,나!,2020.8.19 14:59
comment,나,2020.8.19 18:29
comment,나 ㅋㄱㅋ,2020.8.19 21:24
content,기숙사 들어가면 좀 덜 우울하려나ㅠ,
comment,기숙사들어가면 우울감 오지게 옵니다..,2020.8.19 15:36
comment,ㅇ...왜요....?,2020.8.19 15:44
comment,서울가봤자 코로나때매 어디가기도 불안하고 룸메랑 사는것도 만만치않게 피곤하고 친구가족없어서 매우매우외롭고 슬퍼요.. 밥먹는것도 매번 나가서 사먹기 힘드니까 편의점꺼 젤 많이먹는데 장난아니게 슬프고 또 기숙사 간다고 친구 생기는거 절대 아님미다... 적응하면 좀 낫긴한데 그래도 집이 쵝오에요ㅠㅠ 적응기간이 헬이에요..^^;,2020.8.19 15:46
comment,저는 꽤 독립적인 성향인데도 종종 울었네요 ㅋㅋ쿠ㅠㅠㅠㅠㅠ 지금은 본가임당 부모님 간섭은 좀 있어도 행벅해요..,2020.8.19 15:47
comment,주말에는 무조건 집에 갈 생각인데 그래도 많이 힘들까요ㅠㅜㅜㅜㅜ1학기 때 집에만 있었더니 정말 아무것도 안하게 되면서 무기력증이 심하게 찾아왔었거든요..기숙사생활 많이 해봐서 나름 익숙하기는 한데 밥먹는게 걱정이긴 하네여😭😭,2020.8.19 16:27
